Address,SQFT,Price,Parish,Region,BR,BTH
"LOT 206, 12 DEWDNEY ROAD",4363,1350000,Kingston,14,3,1
454 WATERHOUSE PEN,631,2300000,St. Andrew,11,2,2
ANDERSON ROAD,1500,3000000,Kingston,4,2,1
BURGHER AVENUE,1350,2500000,Kingston,2,3,1
2 JACQUES CRESCENT,5080,3000000,Kingston,4,12,4
TOWER AVENUE,858,2500000,St. Andrew,11,2,1
41 RUSHWORTH PATH,690,3000000,St. Andrew,11,1,1
1285 SEAVIEW GARDENS PH....,2500,2500000,St. Andrew,11,3,1
MYRRH VILLA ROAD,800,3200000,Kingston,14,1,3
"21 MCDONALD LANE,",5943,3300000,St. Andrew,13,3,1
OLEANDER CRESCENT,2340,3500000,St. Andrew,11,4,3
27 CHISHOLM AVENUE,800,4000000,St. Andrew,13,2,1
1B UPPER IVY ROAD,2200,4000000,St. Andrew,5,5,2
3 GRANTS PEN AVE,583,3500000,St. Andrew,8,2,1
28 ARNOLD ROAD,,5000000,Kingston,1,2,2
TOTLEY AVE,3000,4500000,St. Andrew,10,6,3
TOWER HILL AVENUE,800,4500000,Kingston,14,2,1
40 DAFFODIL AVENUE,432,5000000,St. Andrew,13,3,1
"114A RUMLANE, DOWNTOWN",3497,4650000,Kingston,1,14,3
14 BROOKS PATH,1001,5000000,St. Andrew,3,3,1
8 MOORE TOWN WAY,2000,5500000,Kingston,4,6,2
888B ST. MARGARETS CLOSE,1390,5500000,Kingston,2,1,1
KEW ROAD,1500,5600000,St. Andrew,10,5,3
GREENWICH ROAD,1000,3000000,St. Andrew,5,4,2
12 SMITH STREET,769,5900000,Kingston,4,2,2
MARLBOROUGH RD.,2500,4000000,Kingston,4,6,2
UPPER IVY ROAD,9660,5500000,St. Andrew,5,3,1
25 DAHLIA AVENUE,2500,6000000,St. Andrew,11,2,1
21 CRESCENT,2094,5700000,Kingston,4,6,3
71 BEAUMONT ROAD,1278,5000000,St. Andrew,7,5,2
49 CHISHOLM AVENUE,1500,6000000,St. Andrew,13,4,1
ROLLINGTON TOWN,1454,6000000,Kingston,2,4,2
WEISE ROAD,3000,5500000,St. Andrew,17,5,2
2 BERTRAM LANE,5000,6000000,St. Andrew,13,2,1
23 TENNYSON CRESCENT,,5500000,St. Andrew,20,3,1
25 DUHANEY DRIVE,,6100000,St. Andrew,20,3,2
DELACREE PARK,1058,5500000,St. Andrew,11,3,2
53 SWIFT AVENUE,1100,7500000,St. Andrew,20,3,2
23 CARPENTER ROAD,1388,6500000,St. Andrew,10,4,2
32 NAUTILUS AVE,1600,8055000,St. Andrew,17,3,2
43 CAMPDEN CRES KGN 20,1500,5800000,Kingston,1,3,2
"3 VIEWS AVE,HEATHROW MEW...",2589,5800000,St. Andrew,10,1,1
16 LYNDHURST CRESCENT,1000,5500000,St. Andrew,5,3,1
26 JOHNS LANE,1720,6500000,Kingston,1,9,1
"WATERLOO ROAD, DUNOON PA...",2500,8000000,Kingston,2,4,2
9 DILLON AVENUE,1897,6500000,St. Andrew,5,5,3
HILLSIDE CRESCENT,204,6000000,Kingston,2,5,3
11 ANTHONY ROAD,2000,6500000,St. Andrew,5,4,2
51 BUNYAN CRESCENT,1200,7500000,St. Andrew,20,5,2
52 RIVERSIDE DRIVE,1637,7500000,St. Andrew,17,4,2
10 BARBICAN ROAD,3260,7000000,St. Andrew,6,2,1
BROMLEY AVENUE,1789,7100000,St. Andrew,20,3,2
61 CORAL WAY,1800,4800000,St. Andrew,17,3,2
JOHNSON TERRACE,3169,6800000,Kingston,2,12,7
42 CARIBBEAN TERRACE,2500,7500000,St. Andrew,17,4,2
29 UPPER MALL ROAD,1157,7500000,St. Andrew,10,4,3
8 WINT ROAD,4103,6500000,St. Andrew,11,4,2
4 WIGTON AVENUE,9572,7500000,St. Andrew,13,7,2
COLUMBUS DRIVE,3500,6000000,St. Andrew,20,3,2
21 GROVE ROAD,2000,5000000,St. Andrew,10,4,2
PARKER PATH,1200,7700000,St. Andrew,20,3,1
"3 ANGLESEA AVENUE,",,7500000,St. Andrew,20,3,1
29 BRONTE WAY,1300,7500000,St. Andrew,20,3,1
WEST AVENUE,9599,7750000,Kingston,4,19,7
8 SALKEY AVENUE,1260,9000000,St. Andrew,20,4,2
WINDWARD WAY,1500,8500000,Kingston,2,3,2
14 EDGEWARE ROAD,,8000000,St. Andrew,20,5,3
GOOMA PATH,750,7000000,St. Andrew,3,3,1
27 DAHLIA AVENUE,4718,8500000,St. Andrew,11,5,2
88 ABBERVILLE AVENUE,1800,8600000,St. Andrew,20,3,2
33 CRESCENT ROAD,1351,7500000,St. Andrew,10,3,2
22 LUNAR AVENUE,1200,7000000,St. Andrew,17,3,2
GOLD ROAD,1200,7500000,St. Andrew,20,3,2
"WALKER CRES, WALTHAM PAR...",7000,8000000,St. Andrew,11,8,6
MARS DRIVE,1000,8700000,St. Andrew,17,3,1
MT OGLE,1190,8100000,St. Andrew,21,3,2
WALKERS CRESCENT,7000,7500000,St. Andrew,11,8,6
HERRIC AVENUE,1300,8000000,St. Andrew,20,3,2
41 LOCKHART AVENUE,2516,9500000,St. Andrew,20,5,2
HILDENE AVE NORMAN GDNS,3000,7500000,Kingston,2,9,7
7 LYNDHURST CLOSE,1400,8000000,St. Andrew,5,3,2
1A MARLIEMONT AVENUE,3604,8000000,St. Andrew,20,3,1
14 AQUALITA VALE AVENUE,1100,9200000,St. Andrew,20,3,2
6 GLENDALE DRIVE,1000,8500000,St. Andrew,20,2,1
WALKER AVENUE,2080,8000000,St. Andrew,5,4,4
18 GILTRESS STREET,2685,8500000,Kingston,2,5,2
6 DEMETER PLACE,1358,10100000,St. Andrew,19,3,2
18 VERBENA AVENUE,1500,9000000,St. Andrew,11,4,2
28 DAVIDSON AVENUE,1450,8200000,St. Andrew,20,2,1
21 STREET,2000,8700000,Kingston,4,3,1
126 MOUNTAIN VIEW AVENUE,2244,9000000,St. Andrew,3,9,4
18 WEYMOUTH DRIVE,,8500000,St. Andrew,20,3,1
WICKIE WACKIE ROAD,1312,9000000,St. Andrew,17,3,2
